Comuna,Tasa,Fecha
Putre,198.80715705765405,2021-02-15
Putre,79.52286282306163,2021-02-19
Putre,0.0,2021-02-22
Putre,39.761431411530815,2021-02-26
Putre,119.28429423459245,2021-03-01
Putre,159.04572564612326,2021-03-05
Putre,39.761431411530815,2021-03-08
Putre,79.52286282306163,2021-03-12
Putre,39.761431411530815,2021-03-15
Putre,39.761431411530815,2021-03-19
Putre,39.761431411530815,2021-03-22
Putre,79.52286282306163,2021-03-26
Putre,278.3300198807157,2021-03-29
Putre,397.6143141153081,2021-04-02
Putre,397.6143141153081,2021-04-05
Putre,675.9443339960238,2021-04-09
Putre,397.6143141153081,2021-04-12
Putre,477.1371769383698,2021-04-16
Putre,318.0914512922465,2021-04-19
Putre,39.761431411530815,2021-04-23
Putre,39.761431411530815,2021-04-26
Putre,119.28429423459245,2021-04-30
Putre,119.28429423459245,2021-05-03
Putre,119.28429423459245,2021-05-07
Putre,79.52286282306163,2021-05-10
Putre,79.52286282306163,2021-05-14
Putre,39.761431411530815,2021-05-17
Putre,79.52286282306163,2021-05-21
Putre,119.28429423459245,2021-05-24
Putre,159.04572564612326,2021-05-28
Putre,198.80715705765405,2021-05-31
Putre,119.28429423459245,2021-06-04
Putre,39.761431411530815,2021-06-07
Putre,39.761431411530815,2021-06-11
Putre,119.28429423459245,2021-06-14
Putre,397.6143141153081,2021-06-18
Putre,437.37574552683895,2021-06-21
Putre,198.80715705765405,2021-06-25
Putre,79.52286282306163,2021-06-28
Putre,119.28429423459245,2021-07-02
Putre,79.52286282306163,2021-07-05
Putre,119.28429423459245,2021-07-09
Putre,79.52286282306163,2021-07-12
Putre,79.52286282306163,2021-07-16
Putre,39.761431411530815,2021-07-19
Putre,0.0,2021-07-23
Putre,0.0,2021-07-26
Putre,39.761431411530815,2021-07-30
Putre,39.761431411530815,2021-08-02
Putre,39.761431411530815,2021-08-06
Putre,0.0,2021-08-09
Putre,119.28429423459245,2021-08-13
Putre,119.28429423459245,2021-08-16
Desconocido Arica y Parinacota,nan,2020-04-13
Desconocido Arica y Parinacota,nan,2020-04-15
Desconocido Arica y Parinacota,nan,2020-04-17
Desconocido Arica y Parinacota,nan,2020-04-20
Desconocido Arica y Parinacota,nan,2020-04-24
Desconocido Arica y Parinacota,nan,2020-04-27
Desconocido Arica y Parinacota,nan,2020-05-01
Desconocido Arica y Parinacota,nan,2020-05-04
Desconocido Arica y Parinacota,nan,2020-05-08
Desconocido Arica y Parinacota,nan,2020-05-11
Desconocido Arica y Parinacota,nan,2020-05-15
Desconocido Arica y Parinacota,nan,2020-05-18
Desconocido Arica y Parinacota,nan,2020-05-22
Desconocido Arica y Parinacota,nan,2020-05-25
Desconocido Arica y Parinacota,nan,2020-05-29
Desconocido Arica y Parinacota,nan,2020-06-01
Desconocido Arica y Parinacota,nan,2020-06-05
Desconocido Arica y Parinacota,nan,2020-06-08
Desconocido Arica y Parinacota,nan,2020-06-12
Desconocido Arica y Parinacota,nan,2020-06-15
Desconocido Arica y Parinacota,nan,2020-06-19
Desconocido Arica y Parinacota,nan,2020-06-23
Desconocido Arica y Parinacota,nan,2020-06-28
Desconocido Arica y Parinacota,nan,2020-07-01
